a phiến
bóp bẹp
bóp còi
bóp gác
bóp mắt
bóp méo
bóp mồm
bóp mũi
bóp nát
bóp nặn
bóp vụn
bọp bẹp
bọt bèo
bọt mép
bồ bịch
bồ chao
bồ hóng
bồ liễu
bồ nhìn
bồ nông
bồ quân
bổ dụng
bổ lưới
bổ nhào
bổ nhậm
bổ sung
bổ xoài
bố kinh
bố nuôi
bố trận
bộ binh
bộ cánh
bộ chọn
bộ dạng
bộ điệu
bộ hành
bộ hình
bộ hoãn
bộ lòng
bộ lông
bộ luật
bộ ngắm
bộ phận
bộ rung
bộ tịch
bốc hoả
bốc hơi
bốc mùi
bốc nọc
bốc phệ
bốc rời
bốc vác
bốc xếp
bộc lôi
bộc phá
bôi bác
bôi đen
bôi lem
bôi nhọ
bôi vôi
bồi bếp
bồi bút
bồi dục
bồi đắp
bồi hồi
bổi hổi
bối mẫu
bối rối
bội bạc
bội chi
bội thề
bội thu
bội tín
bội tốc
bội ước
bôm bốp
bồm bộp
bôn tập
bôn tẩu
bồn tắm
bốn bên
bốn cõi
bốn tay
bộn rộn
bông đá
bông mo
bồng bế
bột lọc
bột men
bột sam
bột tan
bột xay
bột xoa
bờ biển
bờ giậu
bờ quai
bờ thửa
bờ vùng
bơi chó
bơi ếch
bơi lội
bơi sải
bời bời
bời lời
bởi đâu
bởi tại
bởi thế
bởi vậy
bới móc
bới xấu
bơm đẩy
bơm hút
bơm máy
bờm xơm
bờm xờm
bợm bãi
bợm già
bơn bớt
bờn bợt
bợp tai
bớt tay
bớt xén
bù nhìn
bù trội
bùa chú
bùa yêu
bủa vây
búa gió
búa hơi
búa rìu
bùi tai
bụi bặm
bụi đời
bụi rậm
bùm bụp
bùm tum
bùn hoa
bùn lầy
bùn non
bủn rủn
bủn xỉn
bún chả
bùng nổ
bụng dạ
buồn bã
buồn tẻ
bút chì
bút đàm
bút giá
bút hoa
bút lực
bút máy
bụt mọc
bứ họng
bừa bãi
bừa bộn
bừa cào
bừa đĩa
bừa máy
bừa mứa
bừa ngả
bừa san
bữa cơm
bức bàn
bức bối
bức chí
bức cửa
bức hại
bức hôn
bức rút
bức xúc
bực bội
bực chí
bực dọc
bực tức
bước đi
bươn bả
bướu cổ
bướu gù
bứt rứt
bưu ảnh
bưu cục
bưu phí
bửu bối
bửu vật
ca khúc
ca kịch
ca ngợi
ca nhạc
ca thán
ca tụng
ca vịnh
cà chua
cà kheo
cà khịa
cà mèng
cà nhắc
cà nhom
cà pháo
cà rùng
cà thọt
cà tong
cà tửng
cả cười
cả quẫy
cả thảy
cả thẹn
cá biệt
cá bống
cá chai
cá cháy
cá chép
cá chim
cá đồng
cá đuối
cá giếc
cá kiếm
cá kình
cá lịch
cá măng
cá ngựa
cá nhân
cá nheo
cá nược
cá phèn
cá song
cá thia
cá tính
cá trác
cá tràu
cá trôi
cá vàng
cá vược
các ông
cạc cạc
cách cú
cách li
cách xa
cai bầu
cai sữa
cai trị
cải bắp
cải cay
cải cúc
cải dại
cải dầu
cải giá
cải hoa
cải hoá
cải hối
cải quá
cải tạo
cải tân
cãi lẫy
cãi lộn
cái ghẻ
cam kết
cam tâm
cảm hàn
cảm hoá
cảm mạo
cảm mến
cảm thụ
cảm ứng
cảm xúc
cám hấp
cám lợn
cạm bẫy
can chi
can đảm
can qua
can táo
cản trở
cán cân
cạn lời
cạn túi
canh gà
canh tà
canh ti
cành là
cành lá
cảnh bị
cảnh vệ
cánh cờ
cánh gà
cánh sẻ
cánh tả
cánh úp
cao cấp
cao dày
cao đài
cao đàm
cao đẹp
cao giá
cao học
cao lâu
cao lộc
cao lớn
cao nhã
cao quý
cao ráo
cao sản
cao sâu
cao sơn
cao tan
cao tay
cao tần
cao thế
cao thủ
cao tốc
cao vút
cào cào
cáo cấp
cáo già
cáo hồi
cáo hưu
cáo lão
cáo lỗi
cáo lui
cáo phó
cáo thị
cáo tri
cạp nia
cát căn
cát kết
cát lũy
cát vần
cau cảu
cau mày
cau mặt
càu cạu
cáu bẳn
cáu cặn
cáu gắt
cay độc
cay mắt
cày bừa
cày cấy
cày cục
cày dầm
căm căm
căm gan
căm hờn
căm thù
căm tức
cắm cúi
cắm đất
cắm đầu
cắm mốc
cắm nhà
cắm thẻ
cặm cụi
căn bản
căn cắt
căn dặn
căn vặn
cằn cặt
cằn cọc
cằn cỗi
cắn câu
cắn chỉ
cắn gót
cắn màu
cắn rứt
căng óc
cắp đít
cắp nắp
cắp tay
cắp vặt
cặp bến
cặp chì
cặp díp
cặp đôi
cặp kèm
cặp sốt
cặp tóc
cắt bom
cắt bớt
cắt cụt
cắt đặt
cắt đứt
cắt lân
cắt lời
cắt rốn
cắt tai
cắt toa
cắt tóc
cắt xén
cấc lấc
câm mồm
cầm bút
cầm cái
cầm cập
cầm đài
cầm đầu
cầm hạc
cầm hơi
cầm lái
cầm màu
cầm máu
cầm nắm
cầm như
cầm sắt
cầm thú
cầm thư
cẩm bào
cẩm lai
cấm cẳn
cấm chỉ
cấm cửa
cấm dục
cấm địa
cấm vận
cân bàn
cân cấn
cân đai
cân đĩa
cân đối
cân hơi
cân kẹo
cân lực
cân não
cân tây
cân thư
cần cấp
cần câu
cần cẩu
cần kíp
cần lao
cần mẫn
cần tây
cần vẹt
cần yếu
cẩn cáo
cẩn mật
cẩn tắc
cẩn thủ
cấn cái
cận đại
cận địa
cận kim
cận lai
cận lao
cận sản
cận thị
cấp báo
cấp bậc
cấp cao
cấp cứu
cấp phí
cất bút
cất cao
cất cơn
cất dọn
cất đám
cất đầu
cất lẻn
cất mồm
cất nóc
cật lực
cật sức
cật vấn
câu dầm
câu đầu
câu đối
câu hát
câu hoạ
câu hỏi
câu kéo
câu kẹo
câu kết
câu lưu
câu nói
câu rút
câu thơ
câu ứng
câu vắt
cầu bến
cầu cạn
cầu chì
cầu cứu
cầu dao
cầu đảo
cầu gai
cầu hoà
cầu hôn
cầu hồn
cầu khỉ
cầu sau
cầu tai
cầu tài
cầu tàu
cầu thủ
cầu vai
cầu xin
cầu yên
cẩu hợp
cẩu thả
cẩu trệ
cấu chí
cấu kết
cấu rứt
cấu tạo
cấu véo
cây bài
cây bụi
cây bút
cây cẩy
cây cối
cây đèn
cây leo
cây mầm
cây mộc
cây nến
cây nêu
cây nhỏ
cây nhỡ
cây rơm
cấy cày
cấy hái
cậy cục
cha anh
cha chả
cha chú
cha phó
chà đạp
chà xát
chả giò
chả quế
chả rán
chai bố
chạm cữ
chán ăn
chán bứ
chao ôi
cháo ám
cháo kê
chạp mả
chát lè
cháu họ
cháu rể
chạy ăn
chạy rà
chạy ùa
chắc ăn
chắc dạ
chắc là
chăm lo
chẵn lẻ
chắn cạ
chắp vá
chậm rì
chân bì
chân lí
chân tu
chẩn tế
chấn tử
chấp lễ
chấp nê
chấp uỷ
chất nổ
châu lệ
châu lị
chầu tổ
che chở
che đậy
che kín
che lấp
che mắt
che phủ
che tàn
chè bồm
chè búp
chè cốm
chè hạt
chè hột
chè kho
chè lam
chè mạn
chẻ hoe
chẻ tre
chèn ép
chéo go
chê bai
chề chà
chề chề
chế dục
chế hoá
chế ngự
chế tác
chế tài
chế tạo
chế ước
chết gí
chết mê
chết tử
chi cấp
chi chí
chi cục
chi đội
chi hội
chi khu
chi nài
chi phí
chi thu
chi trả
chi trì
chỉ bảo
chỉ báo
chỉ cần
chỉ dẫn
chỉ đạo
chỉ huy
chỉ nam
chỉ nhị
chỉ thị
chỉ trỏ
chỉ xác
chí cao
chí chí
chí cốt
chí khí
chí khổ
chí như
chí tâm
chí tôn
chị dâu
chia li
chia lô
chia rẽ
chia sẻ
chia xẻ
chĩa ba
chim cu
chim ri
chim sẻ
chín bệ
chín mé
chịu lễ
chịu lỗ
chịu ơn
cho cái
cho chữ
cho đến
cho đơn
cho hay
cho máu
cho nên
cho qua
cho rồi
cho vay
chò chỉ
chõ mồm
chó dại
chó đái
chó đểu
chó ghẻ
chó gio
chó mực
chó ngộ
chó săn
chó sói
chọi gà
chóp bu
chóp rễ
chỗ dựa
chốc lở
chồi rễ
chổi cọ
chổi rễ
chổi sể
chối kệ
chối từ
chột dạ
chờ đợi
chớ chi
chợ búa
chợ đen
chơi ác
chu cấp
chu đáo
chu mật
chu tất
chủ bài
chủ bút
chủ đạo
chủ hoà
chủ hôn
chủ lực
chủ mưu
chủ não
chủ ngữ
chủ nhà
chủ tâm
chủ thể
chủ toạ
chủ trì
chủ trí
chủ yếu
chú dẫn
chú mày
chú mục
chúa tể
chuẩn y
chúc hạ
chúc từ
chụp mũ
chút ít
chư hầu
chư ông
chữ bát
chữ cái
chữ chi
chữ con
chữ đệm
chữ hoa
chữ ngả
chữ ngũ
chữ nho
chữ nôm
chữ rời
chữ tây
chữ vạn
chứ lại
chứ như
chứ sao
chưa hề
chừa bỏ
chứa gá
chức sự
chức vị
chức vụ
chửi xỏ
co cứng
co giãn
co giật
co khít
co mình
co quắp
co thắt
cò bạch
cò quay
cò ruồi
cò thìa
cỏ chét
cỏ lùng
cỏ xước
có chân
có chửa
có công
có điều
có hạnh
có hiếu
có kinh
có lòng
có mang
có nghì
có nhân
có phép
có phúc
có thai
có tình
có tuổi
cóc bùn
cóc cần
cóc khô
cóc tía
cọc leo
cọc sợi
coi hát
coi mắt
coi ngó
coi nhẹ
coi như
coi sóc
còi cọc
cõi đời
cõi tục
cói túi
còm cõi
còm cọm
cọm già
cọm rọm
con bạc
con bài
con cái
con con
con côi
con cúi
con dại
con dâu
con dấu
con đàn
con đen
con đòi
con đực
con gái
con ghẻ
con hát
con hầu
con lắc
con lăn
con mái
con mắt
con mọn
con một
con nhà
con nhỏ
con nít
con rối
con sợi
con tạo
con tàu
con thơ
con thứ
con tin
con trẻ
còn lại
còn như
còn nữa
còn xơi
cỏn con
cót két
cọt kẹt
cô đòng
cô đọng
cô giáo
cô liêu
cô miên
cô mình
cô nàng
cô thôn
cô tịch
cổ bồng
cổ cánh
cổ chày
cổ chân
cổ điển
cổ đông
cổ động
cổ đứng
cổ hoặc
cổ họng
cổ kính
cổ ngạn
cổ nhân
cổ phần
cổ quái
cổ sinh
cổ thìa
cổ tích
cỗ chay
cỗ kiệu
cỗ lòng
cỗ săng
cố chấp
cố chết
cố công
cố cùng
cố định
cố gắng
cố nhân
cố nông
cố quận
cố quốc
cố tình
cốc láo
cốc vại
cộc lốc
côi cút
cối xay
côm cốp
cồm cộm
cồm cộp
cồn cào
cồn cộn
cổn bào
công an
công bố
công cụ
công lệ
công lí
công nợ
công nữ
công ơn
công sá
công sở
công sứ
công ti
công tố
công tư
công tử
công vụ
công xã
công xá
cổng rả
cống lễ
cống sĩ
cộng sự
cốt cán
cốt hoá
cốt học
cốt khí
cốt lõi
cốt tủy
cốt yếu
cột cái
cột gôn
cột lái
cột mốt
cột mũi
cột trụ
cột tủy
cơ biến
cơ căng
cơ duỗi
cơ giới
cơ khít
cơ năng
cơ ngơi
cơ ngửa
cơ niên
cơ quan
cơ thắt
cơ trần
cơ trời
cơ trơn
cờ hiệu
cờ lệnh
cờ quạt
cơi nới
cơm bữa
cơm dừa
cơm đen
cơm lam
cơm nắm
cơm nếp
cơm tây
cơm toi
cơm vắt
cơn cớn
cờn cợn
cớn non
cớt nhả
cợt nhả
cu ngói
cu xanh
cù đinh
cù nhầy
cù túng
củ chóc
củ dong
củ soát
cũ càng
cũ rích
cú muỗi
cú pháp
cua bấy
của cải
của cấm
của đút
của này
của nổi
cúc bấm
cúc cúc
cúc dục
cúc tần
cục cằn
cục cục
cục phó
cục súc
cục tác
cục thế
cùi chỏ
cùi cụi
cùi tay
củi đóm
củi lửa
củi rều
củi vụn
cúi gằm
cúi lạy
cúi rạp
cúi xin
cum cúp
cùm cụp
cùm kẹp
cúm rúm
cun cút
cùn cụt
cùn đời
cũn cỡn
cung hạ
cung hỉ
cung mê
cung nữ
cùng đồ
cùng kế
cùng ra
củng cố
cũng cứ
cúng tế
cuốc bộ
cuốn lá
cuốn vó
cụp tai
cút kít
cụt lủn
cụt tay
cư tang
cừ khôi
cử binh
cử đỉnh
cử động
cử hành
cử nhạc
cử nhân
cứ điểm
cứ liệu
cứ việc
cưa máy
cưa tay
cửa bên
cửa già
cửa mái
cửa ngõ
cửa nhà
cửa tàu
cửa tay
cửa van
cực bắc
cực cầu
cực đại
cực hàn
cực hữu
cực khổ
cực lạc
cực lực
cực nam
cứng cổ
cười bò
cười nụ
cười rộ
cười rũ
cưỡi bổ
cưỡi cổ
cướp cò
cứt lợn
cứt mũi
cứt ráy
cứt sắt
cừu hận
cừu thị
cửu ngũ
cứu bần
cứu hạn
cứu hoả
cứu khổ
cứu trợ
cứu vãn
cứu vớt
cứu xét
cựu học
cựu nho
cựu ước
da diết
da đồng
da láng
da liễu
da lông
da lươn
da sống
da thịt
da trời
da vàng
dạ khúc
dai sức
dài hạn
dài hơi
dài lời
dài mồm
dải màn
dải rút
dãi dầu
dãi rớt
dãi thẻ
dái mít
dái tai
dại dột
dại gái
dại mặt
dạm hỏi
dạm mặt
dan díu
dan tay
dàn bài
dàn hoà
dàn mặt
dàn xếp
dán mắt
dán mũi
dạn dày
dạn đòn
dạn mặt
dạn roi
dang dở
dáng bộ
dáng đi
dáng vẻ
danh bạ
danh ca
danh dự
danh kĩ
danh sĩ
danh sư
danh từ
danh vị
dao bài
dao bào
dao bầu
dao cạo
dao cau
dao cày
dao cầu
dao con
dao dài
dao díp
dao găm
dao gọt
dao kéo
dao pha
dao rựa
dao xếp
dào dạt
dạo gót
dạo mát
dạt dào
dàu dàu
day dứt
dày cộm
dày dạn
dày dày
dày dặn
dày đặc
dãy núi
dạy bảo
dạy đời
dạy học
dạy kèm
dặc dặc
dăm bào
dăm kèn
dăm xem
dăn deo
dăn dúm
dằn dỗi
dặn bảo
dắt dẫn
dắt dây
dắt díu
dắt gái
dắt mũi
dắt tay
dặt dìu
dâm bôn
dâm bụt
dâm dấp
dâm dật
dâm dục
dâm họa
dâm phụ
dâm thư
dâm yêu
dân bẹp
dân cày
dân chủ
dân dấn
dân đen
dân khí
dân lập
dân phu
dân quê
dân tâm
dân thợ
dân tộc
dân trí
dân túy
dân ước
dân vận
dần dần
dần mòn
dẫn bảo
dẫn dắt
dẫn đạo
dẫn đầu
dẫn hát
dẫn hỏa
dẫn nạp
dẫn xác
dấn vốn
dập dìu
dập tắt
dập vùi
dâu con
dâu gia
dâu tằm
dâu tây
dầu cao
dầu cho
dầu dãi
dầu dọc
dầu dừa
dầu đèn
dầu hoả
dầu hôi
dầu khí
dầu lạc
dầu lai
dầu lửa
dầu máy
dầu rái
dầu sao
dầu tây
dầu tẩy
dầu vậy
dẫu sao
dấu hỏi
dấu ngã
dấu nối
dấu sắc
dấu vết
dây bọc
dây cáp
dây câu
dây cót
dây dẫn
dây dọi
dây dưa
dây đàn
dây đất
dây đeo
dây gắm
dây kẽm
dây leo
dây lèo
dây mật
dây mực
dây néo
dây nói
dây oan
dây tóc
dậy đất
dậy mùi
dậy thì
dẽ dàng
dẽ giun
dẽ tính
dèn dẹt
deo dẻo
dẻo dai
dẻo mồm
dẻo tay
dẹp yên
dẹt đét
dẹt lét
dê diếu
dê rừng
dễ chịu
dễ dàng
dễ ghét
dễ hiểu
dễ nghe
dễ tiêu
dễ tính
dệt kim
di chúc
di dịch
di động
di huấn
di mệnh
di ngôn
di tặng
di thực
di tích
di tinh
dì ruột
dĩ tiền
dĩ vãng
dị dạng
dị đoan
dị đồng
dị giao
dị giáo
dị hình
dị nghị
dị nhân
dị vòng
dịch âm
dịch lệ
dịch mã
dịch rỉ
dịch tả
dịch tễ
dịch vị
dịch vụ
diễm lệ
diễm sử
diễn âm
diễn ca
diễn tả
diễn từ
diếp cá
diếp củ
diếp ma
diệt cỏ
diệu kế
diệu kì
dinh cơ
dìu dắt
dìu dặt
dìu dịu
dịu bớt
do thám
dọa dẫm
dọa già
dọa nạt
dọc dưa
dọc dừa
doi đất
dòi dõi
dõi dõi
dòm ngó
dòm nom
dọn bàn
dọn cơm
dọn dẹp
dọn nhà
dòng họ
dô nách
dỗ dành
dốc chí
dốc ống
dốc sức
dốc túi
dồi dào
dối trá
dồn dập
dồn nén
dông tố
dốt đặc
dốt nát
dơ dáng
dơ duốc
dở dang
dỡ hàng
dơi quạ
dơi quỷ
dơi tai
dời gót
du canh
du đãng
du hành
du kích
du lịch
du nhập
du xích
du xuân
dù rằng
dũ sang
dụ hàng
dùi cui
dùi đục
dúm dụm
dung dị
dung độ
dũng sĩ
dụng cụ
dụng võ
duy cảm
duy ngã
duy tâm
duy tân
duy trì
duy trí
duy vật
duyệt y
dư dùng
dư đảng
dư luận
dư thừa
dữ kiện
dữ liệu
dự định
dự đoán
dự kiến
dự liệu
dự luật
dự phần
dự thảo
dự thẩm
dự tính
dự toán
dưa góp
dưa hấu
dưa món
dưa tây
dừa cạn
dứa dại
dựa dẫm
dửng mỡ
dược mạ
dược sĩ
dược tá
đa bệnh
đa canh
đa dạng
đa diện
đa đinh
đa đoan
đa giác
đa hình
đa khoa
đa liên
đa mang
đa nang
đa năng
đa nghi
đa ngôn
đa phần
đa thần
đa thời
đa thức
đa tiết
đa tình
đà điểu
đả động
đả kích
đã đành
đã giận
đã khát
đã thèm
đã trót
đá bảng
đá cuội
đá giăm
đá liếc
đá ngầm
đá nhám
đá phấn
đá phốc
đá vàng
đai cân
đài các
đài hoa
đãi ngộ
đái đầm
đái đêm
đái khó
đái láu
đái rắt
đái tật
đái tội
đại bác
đại bại
đại bịp
đại cán
đại cáo
đại cục
đại gia
đại hạn
đại học
đại hồi
đại hội
đại lục
đại não
đại nho
đàm đạo
đàm tếu
đảm bảo
đảm phụ
đám bạc
đám rối
đạm bạc
đan lát
đan quế
đan tâm
đan trì
đàn anh
đàn bầu
đàn cầm
đàn dây
đàn đúm
đàn gảy
đàn hát
đàn hồi
đàn kéo
đàn nhị
đàn ông
đàn ống
đàn tam
đạn đạo
đạn lửa
đang in
đàng xa
đảng bộ
đảng kì
đảng sử
đáng kể
đáng lẽ
đáng lí
đáng số
đáng sợ
đanh đá
đành dạ
đành là
đánh bả
đánh bể
đánh cá
đánh cờ
đánh đá
đánh đố
đánh đu
đánh gỉ
đánh úp
đánh võ
đánh vỡ
đánh xe
đánh xi
đao phủ
đào bới
đào hát
đào hoa
đào kép
đào ngũ
đào sâu
đào tạo
đào tẩu
đảo ảnh
đảo chữ
đảo lộn
đáo đầu
đáo đĩa
đáo thủ
đáo tuế
đạo đạt
đạo đức
đạo hàm
đạo hữu
đạo mạo
đạo tặc
đáp ứng
đạp lúa
đạp mái
đau bão
đau đớn
đau gan
đau khổ
đau mắt
đau nau
đau xót
đay đảy
đày đọa
đắc chí
đắc đạo
đắc địa
đắc lợi
đắc lực
đắc thế
đắc tội
đặc chỉ
đặc giá
đặc hữu
đặc khu
đặc kịt
đặc phí
đặc sai
đặc san
đặc sản
đặc sắc
đặc sệt
đặc thù
đặc ứng
đăm đăm
đăm đắm
đẵm máu
đắm say
đăng bạ
đăng đồ
đăng kí
đằng ấy
đằng la
đẳng áp
đẳng cự
đẳng dị
đẳng tà
đẳng từ
đẳng vị
đắp đổi
đắt lời
đặt bày
đặt câu
đặt cọc
đặt cửa
đặt giá
đặt lãi
đặt tên
đâm đầu
đâm mầm
đâm sầm
đầm đầm
đầm đậm
đầm đìa
đầm lầy
đẫm máu
đấm bóp
đấm mõm
đậm đặc
đậm nét
đần độn
đập cửa
đập lại
đập lúa
đập tan
đất bãi
đất bồi
đất cát
đất hứa
đất màu
đất mùn
đất nhẹ
đất sét
đất son
đâu dám
